Country,IATA
Papua New Guinea,GKA
Papua New Guinea,MAG
Papua New Guinea,HGU
Papua New Guinea,LAE
Papua New Guinea,POM
Papua New Guinea,WWK
Greenland,UAK
Greenland,GOH
Greenland,SFJ
Greenland,THU
Iceland,AEY
Iceland,EGS
Iceland,HFN
Iceland,HZK
Iceland,IFJ
Iceland,KEF
Iceland,PFJ
Iceland,RKV
Iceland,SIJ
Iceland,VEY
Canada,YAM
Canada,YAY
Canada,YAZ
Canada,YBB
Canada,YBC
Canada,YBG
Canada,YBK
Canada,YBL
Canada,YBR
Canada,YCB
Canada,YCD
Canada,YCG
Canada,YCH
Canada,YCL
Canada,YCO
Canada,YCT
Canada,YCW
Canada,YCY
Canada,YZS
Canada,YDA
Canada,YDB
Canada,YDF
Canada,YDL
Canada,YDN
Canada,YDQ
Canada,YEG
Canada,YEK
Canada,YEN
Canada,YET
Canada,YEU
Canada,YEV
Canada,YFB
Canada,YFC
Canada,YFE
Canada,YFO
Canada,YFR
Canada,YFS
Canada,YGK
Canada,YGL
Canada,YGP
Canada,YGQ
Canada,YGR
Canada,YHB
Canada,YHD
Canada,YHI
Canada,YHK
Canada,YHM
Canada,YHU
Canada,YHY
Canada,YHZ
Canada,YIB
Canada,YIO
Canada,YJN
Canada,YJT
Canada,YKA
Canada,YKF
Canada,YKL
Canada,YKY
Canada,YKZ
Canada,YLD
Canada,YLJ
Canada,YLL
Canada,YLT
Canada,YLW
Canada,YMA
Canada,YMJ
Canada,YMM
Canada,YMO
Canada,YMW
Canada,YMX
Canada,YNA
Canada,YND
Canada,YNM
Canada,YOC
Canada,YOD
Canada,YOJ
Canada,YOW
Canada,YPA
Canada,YPE
Canada,YPG
Canada,YPL
Canada,YPN
Canada,YPQ
Canada,YPR
Canada,YPY
Canada,YQA
Canada,YQB
Canada,YQF
Canada,YQG
Canada,YQH
Canada,YQK
Canada,YQL
Canada,YQM
Canada,YQQ
Canada,YQR
Canada,YQT
Canada,YQU
Canada,YQV
Canada,YQW
Canada,YQX
Canada,YQY
Canada,YQZ
Canada,YRB
Canada,YRI
Canada,YRJ
Canada,YRM
Canada,YRT
Canada,YSB
Canada,YSC
Canada,YSJ
Canada,YSM
Canada,YSR
Canada,YSU
Canada,YSY
Canada,YTE
Canada,YTH
Canada,YTR
Canada,YTS
Canada,YTZ
Canada,YUB
Canada,YUL
Canada,YUT
Canada,YUX
Canada,YUY
Canada,YVC
Canada,YVG
Canada,YVM
Canada,YVO
Canada,YVP
Canada,YVQ
Canada,YVR
Canada,YVT
Canada,YVV
Canada,YWA
Canada,YWG
Canada,YWK
Canada,YWL
Canada,YWY
Canada,YXC
Canada,YXD
Canada,YXE
Canada,YXH
Canada,YXJ
Canada,YXL
Canada,YXP
Canada,YXR
Canada,YXS
Canada,YXT
Canada,YXU
Canada,YXX
Canada,YXY
Canada,YYB
Canada,YYC
Canada,YYD
Canada,YYE
Canada,YYF
Canada,YYG
Canada,YYH
Canada,YYJ
Canada,YYL
Canada,YYN
Canada,YYQ
Canada,YYR
Canada,YYT
Canada,YYU
Canada,YYW
Canada,YYY
Canada,YYZ
Canada,YZD
Canada,YZE
Canada,YZF
Canada,YZH
Canada,YZP
Canada,YZR
Canada,YZT
Canada,YZU
Canada,YZV
Canada,YZW
Canada,YZX
Canada,ZFA
Canada,ZFM
Algeria,QLD
Algeria,BUJ
Algeria,BJA
Algeria,ALG
Algeria,DJG
Algeria,VVZ
Algeria,TMR
Algeria,GJL
Algeria,MZW
Algeria,AAE
Algeria,CZL
Algeria,TEE
Algeria,HRM
Algeria,TID
Algeria,TIN
Algeria,CFK
Algeria,TAF
Algeria,TLM
Algeria,ORN
Algeria,BFW
Algeria,MUW
Algeria,AZR
Algeria,BSK
Algeria,ELG
Algeria,GHA
Algeria,HME
Algeria,INZ
Algeria,TGR
Algeria,LOO
Algeria,TMX
Algeria,OGX
Algeria,IAM
Benin,COO
Burkina Faso,OUA
Burkina Faso,BOY
Ghana,ACC
Ghana,TML
Ghana,NYI
Ghana,TKD
Cote d'Ivoire,ABJ
Cote d'Ivoire,BYK
Cote d'Ivoire,DJO
Cote d'Ivoire,HGO
Cote d'Ivoire,MJC
Cote d'Ivoire,SPY
Cote d'Ivoire,ASK
Nigeria,ABV
Nigeria,AKR
Nigeria,BNI
Nigeria,CBQ
Nigeria,ENU
Nigeria,IBA
Nigeria,ILR
Nigeria,JOS
Nigeria,KAD
Nigeria,KAN
Nigeria,MIU
Nigeria,MDI
Nigeria,LOS
Nigeria,MXJ
Nigeria,PHC
Nigeria,SKO
Nigeria,YOL
Nigeria,ZAR
Niger,MFQ
Niger,NIM
Niger,THZ
Niger,AJY
Niger,ZND
Tunisia,MIR
Tunisia,TUN
Tunisia,GAF
Tunisia,GAE
Tunisia,DJE
Tunisia,EBM
Tunisia,SFA
Tunisia,TOE
Togo,LRL
Togo,LFW
Belgium,ANR
Belgium,BRU
Belgium,CRL
Belgium,KJK
Belgium,LGG
Belgium,OST
Belgium,OBL
Germany,AOC
Germany,IES
Germany,REB
Germany,QXH
Germany,BBH
Germany,ZMG
Germany,CBU
Germany,SXF
Germany,DRS
Germany,ERF
Germany,FRA
Germany,FMO
Germany,HAM
Germany,THF
Germany,CGN
Germany,DUS
Germany,MUC
Germany,NUE
Germany,LEJ
Germany,SCN
Germany,STR
Germany,TXL
Germany,HAJ
Germany,BRE
Germany,QEF
Germany,HHN
Germany,MHG
Germany,EIB
Germany,SGE
Germany,XFW
Germany,KEL
Germany,LBC
Germany,ESS
Germany,BFE
Germany,MGL
Germany,PAD
Germany,DTM
Germany,AGB
Germany,OBF
Germany,RBM
Germany,FDH
Germany,SZW
Germany,BYU
Germany,URD
Germany,HOQ
Germany,ZQW
Germany,ZQL
Germany,BWE
Germany,KSF
Germany,BRV
Germany,EME
Germany,WVN
Germany,BMK
Germany,NRD
Germany,FLF
Germany,GWT
Estonia,KDL
Estonia,URE
Estonia,EPU
Estonia,TLL
Estonia,TAY
Finland,ENF
