Country,Index
Afghanistan,0.51
Albania,62.27
Algeria,3.72
Andorra,85.71
Angola,48.64
Antigua and Barbuda,44.65
Argentina,89.61
Armenia,43.18
Australia,87.73
Austria,90.68
Azerbaijan,29.76
Bahamas,46.34
Bahrain,31.11
Bangladesh,14.72
Barbados,42.44
Belarus,37.73
Belgium,86.43
Belize,52.82
Benin,41.91
Bhutan,56.76
Bolivia,85.24
Bosnia and Herzegovina,59.7
Botswana,56.1
Brazil,95.06
Brunei,3.26
Bulgaria,51.82
Burkina Faso,29.47
Burundi,7.91
Cambodia,45.0
Cameroon,3.16
Canada,95.35
Cape Verde,49.47
Central African Republic,27.03
Chad,15.0
Chile,100.0
China,42.38
Colombia,97.73
Comoros,12.82
Congo,47.62
Costa Rica,83.33
Cote d'Ivoire,33.0
Croatia,78.64
Cuba,80.91
Cyprus,78.0
Czechia,75.46
Democratic Republic of Congo,32.09
Denmark,92.86
Djibouti,37.3
Dominica,44.87
Dominican Republic,41.43
East Timor,48.84
Ecuador,87.5
Egypt,5.12
El Salvador,41.03
Equatorial Guinea,38.18
Eritrea,4.87
Estonia,80.48
Eswatini,26.22
Ethiopia,6.51
Fiji,59.76
Finland,85.0
France,88.64
Gabon,41.0
Gambia,1.84
Georgia,45.58
Germany,100.0
Ghana,19.51
Greece,89.55
Grenada,25.26
Guatemala,46.05
Guinea,16.92
Guinea-Bissau,46.86
Guyana,25.8
Haiti,43.18
Honduras,55.71
Hungary,60.46
Iceland,97.62
India,61.16
Indonesia,32.27
Iran,6.05
Iraq,3.0
Ireland,85.0
Israel,76.36
Italy,75.04
Jamaica,24.76
Japan,58.0
Jordan,33.66
Kazakhstan,38.52
Kenya,20.79
Kiribati,28.33
Kuwait,5.64
Kyrgyzstan,33.85
Laos,47.27
Latvia,61.86
Lebanon,17.56
Lesotho,51.91
Liberia,27.18
Libya,4.29
Liechtenstein,68.57
Lithuania,67.73
Luxembourg,80.8
Madagascar,40.0
Malawi,12.09
Malaysia,8.21
Maldives,15.79
Mali,6.67
Malta,100.0
Marshall Islands,56.76
Mauritania,2.79
Mauritius,53.9
Mexico,82.09
Micronesia (country),53.14
Moldova,63.7
Monaco,54.6
Mongolia,63.42
Montenegro,72.27
Morocco,7.91
Mozambique,48.21
Myanmar,11.71
Namibia,51.43
Nauru,48.44
Nepal,82.58
Netherlands,90.46
New Zealand,87.05
Nicaragua,41.46
Niger,38.97
Nigeria,4.6
North Korea,33.89
North Macedonia,60.91
Norway,86.82
Oman,2.93
Pakistan,30.93
Palau,43.75
Panama,44.0
Papua New Guinea,22.27
Paraguay,41.36
Peru,68.0
Philippines,54.75
Poland,61.36
Portugal,93.18
Qatar,4.39
Romania,55.46
Russia,31.55
Rwanda,37.73
Saint Kitts and Nevis,47.43
Saint Lucia,29.1
Saint Vincent and the Grenadines,18.42
Samoa,21.47
San Marino,63.64
Sao Tome and Principe,50.0
Saudi Arabia,2.93
Senegal,3.24
Serbia,62.27
Seychelles,51.43
Sierra Leone,22.44
Singapore,44.29
Slovakia,65.8
Slovenia,83.64
Solomon Islands,17.65
Somalia,1.0
South Africa,83.64
South Korea,60.0
South Sudan,6.83
Spain,99.86
Sri Lanka,24.39
Sudan,5.75
Suriname,63.08
Sweden,80.46
Switzerland,75.91
Syria,10.24
Taiwan,72.96
Tajikistan,35.12
Tanzania,8.46
Thailand,69.05
Togo,6.11
Tonga,20.59
Trinidad and Tobago,27.96
Tunisia,10.53
Turkey,35.46
Turkmenistan,19.87
Tuvalu,26.52
Uganda,0.56
Ukraine,57.27
United Arab Emirates,0.47
United Kingdom,81.59
United States,80.99
Uruguay,93.18
Uzbekistan,23.21
Vanuatu,42.56
Venezuela,50.0
Vietnam,52.27
World,46.67243
Yemen,2.86
Zambia,4.88
Zimbabwe,17.5
